id,name,link,regular_price,promo_price,brand
62828,"Кофе Julius Meinl Президент классическая коллекция в зернах, 1кг",/products/julius-meinl-prezident-1000g,2349,1499,Кофе Julius
122743,"Кофе Нескафе Голд растворимый сублимированный с добавлением натурального жареного молотого кофе, 900г",/products/kofe-nescafe-gold-rastvorimiy-sublimirovanniy-s-dobavleniem-naturalnogo-zharenogo-molotogo-kofe-900g,Неизвестно,2389,Кофе Нескафе
580564,"Кофе Egoiste Arabica Premium натуральный жареный в зернах, 1кг",/products/egoiste-v-zernah-naturalnyj-zharenyj-arabica-premium-1kg,2199,1599,Кофе Egoiste
287770,"RIOBA Кофе в зернах натуральный жареный Silver, 1кг",/products/rioba-v-zernah-naturalnyj-zharenyj-silver-1kg,1419,1099,RIOBA Кофе
36574,"Кофе Bushido Red Katana в зернах, 1кг",/products/bushido-red-1000g,2519,1899,Кофе Bushido
59409,"Кофе Fresco Arabica Solo в зернах, 1кг",/products/fresco-arabica-solo-v-zernah-1000-g,1639,1299,Кофе Fresco
654820,"Кофе Julius Meinl Caffe Crema Intenso Trend Collection в зернах, 1кг",/products/v-zernah-julius-meinl-krema-intenso-trend-kollekciya-1000g,2079,1399,Кофе Julius
246502,"Кофе Bushido Sensei зерновой, 1кг",/products/kofe-bushido-sensei-zernovoy-1kg,2849,1899,Кофе Bushido
112993,"Кофе Egoiste трюфель крема в зернах, 1кг",/products/kofe-v-zernah-egoiste-tryufel-krema-1kg,2329,1699,Кофе Egoiste
228291,"Кофе Egoiste Voyage в зернах, 1кг",/products/1kg-kofe-egoiste-voyage-v-zernah,2369,1699,Кофе Egoiste
110546,"Кофе Bushido Black Katana в зернах, 1кг",/products/kofe-zernovoj-bushido-black-katana-1000g,2999,1899,Кофе Bushido
287769,"RIOBA Кофе в зернах натуральный жареный 80:20, 1кг",/products/rioba-v-zernah-naturalnyj-zharenyj-gold-1kg,1609,1499,RIOBA Кофе
598958,"Кофе Bushido Kodo растворимый, 95г",/products/bushido-v-kristallah-kodo-95g,999,749,Кофе Bushido
365548,"Кофе Alta Roma Espresso в зернах, 1кг",/products/kofe-alta-roma-espresso-v-zernakh-1kg,1459,1099,Кофе Alta
101497,"Кофе Jardin Eclair в зернах, 1кг",/products/jardin-eclair-1000g,2099,1199,Кофе Jardin
427833,"Кофе Lavazza Qualita Oro натуральный жареный в зернах, 1кг",/products/v-zernah-lavazza-naturalnyj-zharenyj-qualita-oro-1kg,2499,2149,Кофе Lavazza
72533,"Набор кофе в капсулах Coffesso для кофемашин Nespresso ассорти 50шт, 250г",/products/coffesso-nabor-v-kapsulah-50-sht-h-5-g,1669,1099,Набор кофе
230302,"Кофе Monarch Original растворимый, 210г",/products/kofe-monarch-original-rastvorimyy-210g,619,599,Кофе Monarch
287768,"RIOBA Кофе в зернах натуральный жареный 100% арабика Espresso, 1кг",/products/rioba-v-zernah-naturalnyj-zharenyj-100-arabika-espresso-1kg,1609,1499,RIOBA Кофе
247918,"Кофе Poetti Professional Aroma Vending зерновой, 1кг",/products/1kg-kofe-poetti-professional-aroma-vending-zernovoy,1639,1099,Кофе Poetti
112992,"Кофе Egoiste гранд крю в зернах, 1кг",/products/kofe-v-zernah-egoiste-grand-kryu-1kg,3339,1999,Кофе Egoiste
654819,"Кофе Julius Meinl Espresso Premium Collection в зернах, 1кг",/products/v-zernah-julius-meinl-espresso-premium-kollekciya-1000g,2649,1799,Кофе Julius
654817,"Кофе Julius Meinl Trend Collection Espresso Classico в зернах, 1кг",/products/julius-meinl-espresso-trend-1kg,2299,1499,Кофе Julius
228231,"Кофе Piazza del Caffe Crema Vellutata в зернах, 1кг",/products/1kg-kofe-piazza-del-caffe-crema-vellutata-zerno,1259,1099,Кофе Piazza
123742,"Кофе Нескафе Классик растворимый, 900г",/products/900g-nescafe-classic,1569,1299,Кофе Нескафе
654818,"Кофе Julius Meinl Сaffe Crema Premium Collection в зернах, 1кг",/products/julius-meinl-krema-premium-1kg,2479,1669,Кофе Julius
104561,"Кофе Fresco Blend в зернах, 1кг",/products/fresco-blend-1000g,1639,1299,Кофе Fresco
75654,"Кофе Carte Noire Original растворимый сублимированный, 190г",/products/carte-noire-sublimirovannyj-original-190g,1189,999,Кофе Carte
